symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
ETHBTC,-0.00017000,-0.277,0.06118281,0.06140000,0.06123000,3.55000000,0.06123000,65.68630000,0.06124000,48.35360000,0.06140000,0.06149000,0.06090000,9732.20990000,595.44392872,1694929624835,1695016024835,423073215,423093707,20493
LTCBTC,0.00003800,1.583,0.00240514,0.00240100,0.00243900,7.15400000,0.00243800,249.88100000,0.00244000,210.37300000,0.00240100,0.00244100,0.00237100,49398.34800000,118.81010436,1694929624994,1695016024994,93508396,93519116,10721
BNBBTC,0.00007100,0.879,0.00813496,0.00808100,0.00815300,1.63500000,0.00815300,16.70700000,0.00815400,9.38900000,0.00808200,0.00824200,0.00806200,33184.90400000,269.95791921,1694929626215,1695016026215,227127956,227158567,30612
NEOBTC,0.00000120,0.441,0.00026982,0.00027230,0.00027360,1.75000000,0.00027360,624.26000000,0.00027370,0.37000000,0.00027240,0.00027430,0.00026610,3571.25000000,0.96359140,1694929625230,1695016025230,45512468,45513369,902
QTUMETH,0.00000000,0.000,0.00132145,0.00133800,0.00132900,18.30000000,0.00132900,220.30000000,0.00133600,200.80000000,0.00132900,0.00133700,0.00129700,2858.20000000,3.77696640,1694929622061,1695016022061,5402015,5402112,98
EOSETH,-0.00000270,-0.776,0.00034627,0.00034740,0.00034510,51.90000000,0.00034520,1392.70000000,0.00034580,177.60000000,0.00034780,0.00034900,0.00034180,13250.50000000,4.58824089,1694929624306,1695016024306,23497742,23497922,181
SNTETH,0.00000004,0.297,0.00001350,0.00001357,0.00001349,1860.00000000,0.00001348,9081.00000000,0.00001354,20053.00000000,0.00001345,0.00001354,0.00001339,44879.00000000,0.60594997,1694929601873,1695016001873,3906860,3906871,12
BNTETH,-0.00000240,-0.932,0.00025397,0.00026220,0.00025520,29.00000000,0.00025390,241.30000000,0.00025480,555.70000000,0.00025760,0.00025760,0.00024820,11417.80000000,2.89978131,1694929624264,1695016024264,2235061,2235130,70
BCCBTC,0.00000000,0.000,0.00000000,0.07908100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387911,1689658787911,-1,-1,0
GASBTC,0.00000270,3.003,0.00009125,0.00009000,0.00009260,32.20000000,0.00009220,156.70000000,0.00009240,96.20000000,0.00008990,0.00009340,0.00008820,49905.80000000,4.55381281,1694929621105,1695016021105,20799679,20803201,3523
BNBETH,0.00140000,1.063,0.13316046,0.13160000,0.13310000,2.80000000,0.13310000,17.87800000,0.13320000,7.52300000,0.13170000,0.13500000,0.13110000,10360.91200000,1379.66375850,1694929598449,1695015998449,56288307,56296117,7811
BTCUSDT,136.34000000,0.514,26548.16342088,26532.54000000,26668.88000000,0.00168000,26668.87000000,15.53135000,26668.88000000,0.05976000,26532.54000000,26750.00000000,26377.35000000,16031.90603000,425617661.23270090,1694929626557,1695016026557,3213858706,3214384824,526119
ETHUSDT,3.25000000,0.199,1624.39418747,1629.74000000,1632.99000000,0.05860000,1632.99000000,89.31070000,1633.00000000,7.08390000,1629.74000000,1636.54000000,1603.88000000,148766.67880000,241655728.33247800,1694929625744,1695016025744,1197487797,1197793179,305383
HSRBTC,0.00000000,0.000,0.00000000,0.00041400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387911,1689658787911,-1,-1,0
OAXETH,0.00000000,0.000,0.00000000,0.00017780,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387911,1689658787911,-1,-1,0
DNTETH,0.00000000,0.000,0.00000000,0.00002801,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387911,1689658787911,-1,-1,0
MCOETH,0.00000000,0.000,0.00000000,0.00577200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387911,1689658787911,-1,-1,0
ICNETH,0.00000000,0.000,0.00000000,0.00166300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387911,1689658787911,-1,-1,0
MCOBTC,0.00000000,0.000,0.00000000,0.00021140,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387911,1689658787911,-1,-1,0
WTCBTC,0.00000034,5.913,0.00000598,0.00000575,0.00000609,775.00000000,0.00000608,1543.00000000,0.00000610,32.00000000,0.00000575,0.00000638,0.00000555,675178.00000000,4.03874512,1694929626531,1695016026531,20180621,20183938,3318
WTCETH,0.00000000,0.000,0.00000000,0.00023700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387911,1689658787911,-1,-1,0
LRCBTC,-0.00000011,-1.630,0.00000666,0.00000672,0.00000664,344.00000000,0.00000662,1159.00000000,0.00000664,2327.00000000,0.00000675,0.00000675,0.00000653,237370.00000000,1.58195239,1694929598536,1695015998536,22103788,22104408,621
LRCETH,-0.00000136,-1.244,0.00010793,0.00010966,0.00010796,131.00000000,0.00010814,1131.00000000,0.00010852,131.00000000,0.00010932,0.00010936,0.00010636,244271.00000000,26.36472269,1694929604155,1695016004155,4718318,4718529,212
QTUMBTC,-0.00000060,-0.733,0.00008045,0.00008180,0.00008130,6.20000000,0.00008140,192.20000000,0.00008150,1.30000000,0.00008190,0.00008190,0.00007940,4704.30000000,0.37845694,1694929613078,1695016013078,24071757,24072122,366
YOYOBTC,0.00000000,0.000,0.00000000,0.00000008,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387911,1689658787911,-1,-1,0
OMGBTC,0.00000000,0.000,0.00000000,0.00003080,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387911,1689658787911,-1,-1,0
OMGETH,0.00000000,0.000,0.00000000,0.00079100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387911,1689658787911,-1,-1,0
ZRXBTC,-0.00000008,-1.153,0.00000693,0.00000694,0.00000686,308.00000000,0.00000683,1950.00000000,0.00000686,1188.00000000,0.00000694,0.00000713,0.00000670,148489.00000000,1.02873352,1694929616865,1695016016865,25390357,25390781,425
ZRXETH,0.00000000,0.000,0.00000000,0.00009940,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387911,1689658787911,-1,-1,0
STRATBTC,0.00000000,0.000,0.00000000,0.00003085,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387911,1689658787911,-1,-1,0
STRATETH,0.00000000,0.000,0.00000000,0.00105300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387911,1689658787911,-1,-1,0
SNGLSBTC,0.00000000,0.000,0.00000000,0.00000013,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387911,1689658787911,-1,-1,0
SNGLSETH,0.00000000,0.000,0.00000000,0.00005306,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387911,1689658787911,-1,-1,0
BQXBTC,0.00000000,0.000,0.00000000,0.00008703,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387911,1689658787911,-1,-1,0
BQXETH,0.00000000,0.000,0.00000000,0.00126350,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387911,1689658787911,-1,-1,0
KNCBTC,0.00000009,0.402,0.00002225,0.00002240,0.00002250,95.20000000,0.00002248,92.40000000,0.00002251,428.90000000,0.00002241,0.00002293,0.00002162,143437.50000000,3.19190208,1694929625266,1695016025266,20225534,20226936,1403
KNCETH,0.00000000,0.000,0.00000000,0.00039410,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387911,1689658787911,-1,-1,0
FUNBTC,0.00000000,0.000,0.00000000,0.00000029,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387911,1689658787911,-1,-1,0
FUNETH,-0.00000002,-0.816,0.00000242,0.00000245,0.00000243,46668.00000000,0.00000243,119946.00000000,0.00000244,121154.00000000,0.00000245,0.00000246,0.00000240,1344290.00000000,3.25820310,1694929570491,1695015970491,3201010,3201069,60
SNMBTC,-0.00000069,-54.762,0.00000098,0.00000127,0.00000057,46703.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000126,0.00000147,0.00000055,26662465.00000000,26.13502488,1692586803266,1692673203266,14644423,14651718,7296
SNMETH,0.00000000,0.000,0.00000000,0.00004986,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387911,1689658787911,-1,-1,0
NEOETH,0.00003200,0.721,0.00441632,0.00443500,0.00446900,4.24000000,0.00446700,13.71000000,0.00447300,4.24000000,0.00443700,0.00447600,0.00435500,1164.00000000,5.14060005,1694929624902,1695016024902,11339713,11340038,326
